red_freq,green_freq,blue_freq,value
66,86,75,1000
66,86,75,1000
72,84,76,1000
72,84,76,1000
72,83,76,1000
72,83,76,1000
72,84,77,1000
72,84,77,1000
72,85,76,1000
72,85,76,1000
73,85,76,1000
73,85,76,1000
73,85,77,1000
73,85,77,1000
73,85,78,1000
73,85,78,1000
74,86,78,1000
74,86,78,1000
73,85,78,1000
73,85,78,1000
74,86,78,1000
74,86,78,1000
74,86,78,1000
74,86,78,1000
71,82,76,1000
71,82,76,1000
69,79,74,1000
69,79,74,1000
69,80,75,1000
69,80,75,1000
68,78,73,1000
68,78,73,1000
67,78,72,1000
67,78,72,1000
67,78,72,1000
67,78,72,1000
67,78,73,1000
67,78,73,1000
67,78,73,1000
67,78,73,1000
67,78,72,1000
67,78,72,1000
67,78,72,1000
67,78,72,1000
67,78,72,1000
67,78,72,1000
67,78,72,1000
67,78,72,1000
67,79,73,1000
67,79,73,1000
66,77,72,1000
66,77,72,1000
67,78,73,1000
67,78,73,1000
67,78,73,1000
67,78,73,1000
67,78,73,1000
67,78,73,1000
67,78,73,1000
67,78,73,1000
67,79,72,1000
67,79,72,1000
67,79,73,1000
67,79,73,1000
67,79,73,1000
67,79,73,1000
67,78,73,1000
67,78,73,1000
67,79,73,1000
67,79,73,1000
67,78,72,1000
67,78,72,1000
67,78,73,1000
67,78,73,1000
67,79,73,1000
67,79,73,1000
67,78,73,1000
67,78,73,1000
67,78,73,1000
67,78,73,1000
67,77,73,1000
67,77,73,1000
67,78,71,1000
67,78,71,1000
66,77,71,1000
66,77,71,1000
66,78,73,1000
66,78,73,1000
66,79,73,1000
66,79,73,1000
66,79,73,1000
66,79,73,1000
66,77,73,1000
66,77,73,1000
66,78,72,1000
66,78,72,1000
67,78,71,1000
67,78,71,1000
66,78,72,1000
66,78,72,1000
66,78,72,1000
66,78,72,1000
66,78,72,1000
66,78,72,1000
66,78,72,1000
66,78,72,1000
67,78,73,1000
67,78,73,1000
67,78,72,1000
67,78,72,1000
67,78,72,1000
67,78,72,1000
67,78,72,1000
67,78,72,1000
67,78,72,1000
67,78,72,1000
67,78,73,1000
67,78,73,1000
67,78,72,1000
67,78,72,1000
68,81,78,1000
68,81,78,1000
73,87,78,1000
73,87,78,1000
61,68,64,1000
61,68,64,1000
61,68,64,1000
61,68,64,1000
60,68,65,1000
60,68,65,1000
60,68,64,1000
60,68,64,1000
60,68,62,1000
60,68,62,1000
57,64,61,1000
57,64,61,1000
58,63,61,1000
58,63,61,1000
57,63,61,1000
57,63,61,1000
58,64,61,1000
58,64,61,1000
57,66,66,1000
57,66,66,1000
66,74,69,1000
66,74,69,1000
68,76,69,1000
68,76,69,1000
67,75,69,1000
67,75,69,1000
68,77,70,1000
68,77,70,1000
69,77,71,1000
69,77,71,1000
67,77,69,1000
67,77,69,1000
66,75,70,1000
66,75,70,1000
67,74,70,1000
67,74,70,1000
66,74,68,1000
66,74,68,1000
66,73,69,1000
66,73,69,1000
65,73,69,1000
65,73,69,1000
65,73,69,1000
65,73,69,1000
65,72,68,1000
65,72,68,1000
65,73,68,1000
65,73,68,1000
65,73,68,1000
65,73,68,1000
64,71,67,1000
64,71,67,1000
64,72,68,1000
64,72,68,1000
64,72,68,1000
64,72,68,1000
66,73,69,1000
66,73,69,1000
66,74,68,1000
66,74,68,1000
67,74,67,1000
67,74,67,1000
68,76,70,1000
68,76,70,1000
69,78,71,1000
69,78,71,1000
69,78,71,1000
69,78,71,1000
69,78,72,1000
69,78,72,1000
69,78,72,1000
69,78,72,1000
68,77,71,1000
68,77,71,1000
69,77,71,1000
69,77,71,1000
69,76,70,1000
69,76,70,1000
68,77,70,1000
68,77,70,1000
68,76,70,1000
68,76,70,1000
69,77,71,1000
69,77,71,1000
69,77,71,1000
69,77,71,1000
68,77,70,1000
68,77,70,1000
66,76,70,1000
66,76,70,1000
67,75,70,1000
67,75,70,1000
67,76,70,1000
67,76,70,1000
68,75,69,1000
68,75,69,1000
67,76,70,1000
67,76,70,1000
68,75,69,1000
68,75,69,1000
68,76,70,1000
68,76,70,1000
68,75,70,1000
68,75,70,1000
67,76,70,1000
67,76,70,1000
67,76,69,1000
67,76,69,1000
67,75,69,1000
67,75,69,1000
66,74,69,1000
66,74,69,1000
67,74,71,1000
67,74,71,1000
59,90,82,1000
59,90,82,1000
82,100,96,1000
82,100,96,1000
83,100,98,1000
83,100,98,1000
83,100,99,1000
83,100,99,1000
83,99,98,1000
83,99,98,1000
83,99,99,1000
83,99,99,1000
8.41001E+11
8.41001E+11
77,93,94,1000
77,93,94,1000
76,90,92,1000
76,90,92,1000
75,91,91,1000
75,91,91,1000
75,90,90,1000
75,90,90,1000
75,89,91,1000
75,89,91,1000
75,90,91,1000
75,90,91,1000
75,89,91,1000
75,89,91,1000
8.61051E+11
8.61051E+11
8.61051E+11
8.61051E+11
85,106,97,1000
85,106,97,1000
7.91001E+11
7.91001E+11
8.61051E+11
8.61051E+11
8.71061E+11
8.71061E+11
8.71051E+11
8.71051E+11
8.71051E+11
8.71051E+11
8.71061E+11
8.71061E+11
8.71071E+11
8.71071E+11
8.71051E+11
8.71051E+11
8.51031E+11
8.51031E+11
83,100,99,1000
83,100,99,1000
77,92,92,1000
77,92,92,1000
76,88,81,1000
76,88,81,1000
66,78,80,1000
66,78,80,1000
66,77,80,1000
66,77,80,1000
65,77,80,1000
65,77,80,1000
64,78,80,1000
64,78,80,1000
66,79,82,1000
66,79,82,1000
67,79,81,1000
67,79,81,1000
65,76,80,1000
65,76,80,1000
65,77,80,1000
65,77,80,1000
64,75,79,1000
64,75,79,1000
63,76,79,1000
63,76,79,1000
64,77,80,1000
64,77,80,1000
63,75,79,1000
63,75,79,1000
63,77,79,1000
63,77,79,1000
62,77,78,1000
62,77,78,1000
63,76,80,1000
63,76,80,1000
64,77,80,1000
64,77,80,1000
64,76,80,1000
64,76,80,1000
64,77,79,1000
64,77,79,1000
70,92,94,1000
70,92,94,1000
76,82,83,1000
76,82,83,1000
69,82,82,1000
69,82,82,1000
71,83,82,1000
71,83,82,1000
71,83,82,1000
71,83,82,1000
78,92,90,1000
78,92,90,1000
77,91,89,1000
77,91,89,1000
77,91,89,1000
77,91,89,1000
77,91,90,1000
77,91,90,1000
77,91,91,1000
77,91,91,1000
75,88,86,1000
75,88,86,1000
74,86,86,1000
74,86,86,1000
74,86,86,1000
74,86,86,1000
71,83,85,1000
71,83,85,1000
67,76,70,1000
67,76,70,1000
67,76,70,1000
67,76,70,1000
69,78,70,1000
69,78,70,1000
69,78,71,1000
69,78,71,1000
67,76,69,1000
67,76,69,1000
70,81,73,1000
70,81,73,1000
70,80,72,1000
70,80,72,1000
71,80,74,1000
71,80,74,1000
72,81,73,1000
72,81,73,1000
71,80,73,1000
71,80,73,1000
72,80,73,1000
72,80,73,1000
69,79,72,1000
69,79,72,1000
69,79,72,1000
69,79,72,1000
68,77,71,1000
68,77,71,1000
67,76,71,1000
67,76,71,1000
66,76,71,1000
66,76,71,1000
67,76,71,1000
67,76,71,1000
68,76,71,1000
68,76,71,1000
68,77,70,1000
68,77,70,1000
67,78,71,1000
67,78,71,1000
65,75,70,1000
65,75,70,1000
67,78,73,1000
67,78,73,1000
73,83,77,1000
73,83,77,1000
74,85,77,1000
74,85,77,1000
74,85,77,1000
74,85,77,1000
73,85,77,1000
73,85,77,1000
72,84,76,1000
72,84,76,1000
71,81,74,1000
71,81,74,1000
72,82,74,1000
72,82,74,1000
70,81,76,1000
70,81,76,1000
70,81,75,1000
70,81,75,1000
70,81,75,1000
70,81,75,1000
70,81,75,1000
70,81,75,1000
71,81,75,1000
71,81,75,1000
68,81,74,1000
68,81,74,1000
78,84,75,2000
78,84,75,2000
76,83,76,2000
76,83,76,2000
78,84,76,2000
78,84,76,2000
78,83,76,2000
78,83,76,2000
78,84,76,2000
78,84,76,2000
78,84,76,2000
78,84,76,2000
77,84,75,2000
77,84,75,2000
77,84,75,2000
77,84,75,2000
77,83,75,2000
77,83,75,2000
77,83,77,2000
77,83,77,2000
77,84,77,2000
77,84,77,2000
76,83,75,2000
76,83,75,2000
78,84,76,2000
78,84,76,2000
78,84,76,2000
78,84,76,2000
78,84,76,2000
78,84,76,2000
77,85,76,2000
77,85,76,2000
78,84,76,2000
78,84,76,2000
77,84,76,2000
77,84,76,2000
77,84,75,2000
77,84,75,2000
63,72,67,2000
63,72,67,2000
64,74,68,2000
64,74,68,2000
64,74,69,2000
64,74,69,2000
65,74,69,2000
65,74,69,2000
61,71,69,2000
61,71,69,2000
65,79,73,2000
65,79,73,2000
68,80,75,2000
68,80,75,2000
67,79,74,2000
67,79,74,2000
67,78,75,2000
67,78,75,2000
67,78,73,2000
67,78,73,2000
67,79,74,2000
67,79,74,2000
68,79,74,2000
68,79,74,2000
67,80,75,2000
67,80,75,2000
70,82,76,2000
70,82,76,2000
70,82,75,2000
70,82,75,2000
71,82,75,2000
71,82,75,2000
72,83,75,2000
72,83,75,2000
69,80,73,2000
69,80,73,2000
65,77,74,2000
65,77,74,2000
70,81,76,2000
70,81,76,2000
64,76,70,2000
64,76,70,2000
67,78,73,2000
67,78,73,2000
69,80,75,2000
69,80,75,2000
68,79,74,2000
68,79,74,2000
71,85,78,2000
71,85,78,2000
70,80,74,2000
70,80,74,2000
67,79,74,2000
67,79,74,2000
66,79,75,2000
66,79,75,2000
67,79,75,2000
67,79,75,2000
68,79,75,2000
68,79,75,2000
68,80,74,2000
68,80,74,2000
68,79,75,2000
68,79,75,2000
67,78,75,2000
67,78,75,2000
69,79,73,2000
69,79,73,2000
64,73,68,2000
64,73,68,2000
63,73,68,2000
63,73,68,2000
63,73,68,2000
63,73,68,2000
63,73,70,2000
63,73,70,2000
62,72,67,2000
62,72,67,2000
61,71,68,2000
61,71,68,2000
67,78,72,2000
67,78,72,2000
67,78,72,2000
67,78,72,2000
66,77,72,2000
66,77,72,2000
67,77,72,2000
67,77,72,2000
67,77,71,2000
67,77,71,2000
67,76,72,2000
67,76,72,2000
63,72,68,2000
63,72,68,2000
61,72,67,2000
61,72,67,2000
65,75,70,2000
65,75,70,2000
65,76,71,2000
65,76,71,2000
65,76,70,2000
65,76,70,2000
67,79,73,2000
67,79,73,2000
69,79,73,2000
69,79,73,2000
68,78,73,2000
68,78,73,2000
68,79,73,2000
68,79,73,2000
68,79,74,2000
68,79,74,2000
67,78,72,2000
67,78,72,2000
70,80,74,2000
70,80,74,2000
68,79,73,2000
68,79,73,2000
69,79,74,2000
69,79,74,2000
68,77,73,2000
68,77,73,2000
67,79,72,2000
67,79,72,2000
66,79,72,2000
66,79,72,2000
68,79,73,2000
68,79,73,2000
67,78,73,2000
67,78,73,2000
67,78,74,2000
67,78,74,2000
70,80,74,2000
70,80,74,2000
70,81,74,2000
70,81,74,2000
70,81,74,2000
70,81,74,2000
70,81,75,2000
70,81,75,2000
70,81,76,2000
70,81,76,2000
69,80,74,2000
69,80,74,2000
68,78,73,2000
68,78,73,2000
69,79,74,2000
69,79,74,2000
69,79,74,2000
69,79,74,2000
69,80,74,2000
69,80,74,2000
69,80,74,2000
69,80,74,2000
70,81,74,2000
70,81,74,2000
67,79,73,2000
67,79,73,2000
68,75,71,2000
68,75,71,2000
57,67,62,2000
57,67,62,2000
66,76,71,2000
66,76,71,2000
66,76,71,2000
66,76,71,2000
67,75,71,2000
67,75,71,2000
67,77,71,2000
67,77,71,2000
67,76,70,2000
67,76,70,2000
65,75,71,2000
65,75,71,2000
65,75,70,2000
65,75,70,2000
65,75,71,2000
65,75,71,2000
66,75,71,2000
66,75,71,2000
65,75,70,2000
65,75,70,2000
65,75,71,2000
65,75,71,2000
65,76,71,2000
65,76,71,2000
65,75,70,2000
65,75,70,2000
66,76,71,2000
66,76,71,2000
66,76,71,2000
66,76,71,2000
65,74,69,2000
65,74,69,2000
65,76,70,2000
65,76,70,2000
66,75,71,2000
66,75,71,2000
66,76,71,2000
66,76,71,2000
65,76,71,2000
65,76,71,2000
66,76,70,2000
66,76,70,2000
66,76,71,2000
66,76,71,2000
66,76,71,2000
66,76,71,2000
66,75,70,2000
66,75,70,2000
65,75,69,2000
65,75,69,2000
65,74,71,2000
65,74,71,2000
66,76,71,2000
66,76,71,2000
66,75,71,2000
66,75,71,2000
66,75,71,2000
66,75,71,2000
67,78,72,2000
67,78,72,2000
68,76,72,2000
68,76,72,2000
68,79,72,2000
68,79,72,2000
69,78,73,2000
