red_freq, green_freq, blue_freq, value
133,138,132,2000
133,138,132,2000
129,135,128,2000
129,135,128,2000
129,135,131,2000
129,135,131,2000
127,136,131,2000
127,136,131,2000
123,118,125,2000
123,118,125,2000
110,112,99,2000
110,112,99,2000
86,91,81,2000
86,91,81,2000
77,80,85,2000
77,80,85,2000
92,99,100,2000
92,99,100,2000
90,90,90,2000
90,90,90,2000
93,95,90,2000
93,95,90,2000
88,82,85,2000
88,82,85,2000
95,94,104,2000
95,94,104,2000
103,108,99,2000
103,108,99,2000
96,92,92,2000
96,92,92,2000
92,101,102,2000
92,101,102,2000
94,104,107,2000
94,104,107,2000
100,104,104,2000
100,104,104,2000
102,108,110,2000
102,108,110,2000
102,109,110,2000
102,109,110,2000
115,108,111,2000
115,108,111,2000
117,129,116,2000
117,129,116,2000
120,118,112,2000
120,118,112,2000
112,118,103,2000
112,118,103,2000
99,106,111,2000
99,106,111,2000
114,121,112,2000
114,121,112,2000
92,86,74,2000
92,86,74,2000
76,109,113,2000
76,109,113,2000
105,108,119,2000
105,108,119,2000
119,111,108,2000
119,111,108,2000
101,101,105,2000
101,101,105,2000
96,113,106,2000
96,113,106,2000
107,109,100,2000
107,109,100,2000
102,109,97,2000
102,109,97,2000
83,93,95,2000
83,93,95,2000
94,108,82,2000
94,108,82,2000
90,111,109,2000
90,111,109,2000
112,110,98,2000
112,110,98,2000
109,123,122,2000
109,123,122,2000
99,97,102,2000
99,97,102,2000
110,127,120,2000
110,127,120,2000
97,106,111,2000
97,106,111,2000
100,109,101,2000
100,109,101,2000
87,96,83,2000
87,96,83,2000
89,98,86,2000
89,98,86,2000
85,89,93,2000
85,89,93,2000
103,88,79,2000
103,88,79,2000
74,83,89,2000
74,83,89,2000
82,83,79,2000
82,83,79,2000
79,96,91,2000
79,96,91,2000
83,88,81,2000
83,88,81,2000
94,100,85,2000
94,100,85,2000
87,94,95,2000
87,94,95,2000
110,114,98,2000
110,114,98,2000
105,121,123,2000
105,121,123,2000
114,109,110,2000
114,109,110,2000
95,103,96,2000
95,103,96,2000
98,74,75,2000
98,74,75,2000
58,89,67,2000
58,89,67,2000
69,75,76,2000
69,75,76,2000
79,75,71,2000
79,75,71,2000
92,123,117,2000
92,123,117,2000
122,137,138,2000
122,137,138,2000
125,138,129,2000
125,138,129,2000
121,135,134,2000
121,135,134,2000
126,129,129,2000
126,129,129,2000
132,141,143,2000
132,141,143,2000
123,138,130,2000
123,138,130,2000
116,122,126,2000
116,122,126,2000
114,119,99,2000
114,119,99,2000
85,82,85,2000
85,82,85,2000
88,106,111,2000
88,106,111,2000
104,118,125,2000
104,118,125,2000
108,108,113,2000
108,108,113,2000
120,133,122,2000
120,133,122,2000
122,127,119,2000
122,127,119,2000
124,137,134,2000
124,137,134,2000
120,117,116,2000
120,117,116,2000
101,113,113,2000
101,113,113,2000
116,115,112,2000
116,115,112,2000
121,151,149,2000
121,151,149,2000
98,105,105,2000
98,105,105,2000
114,126,100,2000
114,126,100,2000
100,116,121,2000
100,116,121,2000
103,132,138,2000
103,132,138,2000
106,100,75,2000
106,100,75,2000
73,83,105,2000
73,83,105,2000
103,120,109,2000
103,120,109,2000
113,158,155,2000
113,158,155,2000
95,85,83,2000
95,85,83,2000
84,94,90,2000
84,94,90,2000
100,117,120,2000
100,117,120,2000
116,131,147,2000
116,131,147,2000
112,96,89,2000
112,96,89,2000
53,65,74,2000
53,65,74,2000
92,76,87,2000
92,76,87,2000
89,110,151,2000
89,110,151,2000
104,138,109,2000
104,138,109,2000
131,126,128,2000
131,126,128,2000
113,105,109,2000
113,105,109,2000
104,86,57,2000
104,86,57,2000
60,61,62,2000
60,61,62,2000
73,92,98,2000
73,92,98,2000
95,96,102,2000
95,96,102,2000
85,91,66,2000
85,91,66,2000
75,72,71,2000
75,72,71,2000
79,83,104,2000
79,83,104,2000
103,106,108,2000
103,106,108,2000
136,144,99,2000
136,144,99,2000
113,96,117,2000
113,96,117,2000
128,142,125,2000
128,142,125,2000
108,117,99,2000
108,117,99,2000
68,82,78,2000
68,82,78,2000
63,57,73,2000
63,57,73,2000
96,135,135,2000
96,135,135,2000
120,149,162,2000
120,149,162,2000
138,147,138,2000
138,147,138,2000
113,113,105,2000
113,113,105,2000
96,83,79,2000
96,83,79,2000
83,105,132,2000
83,105,132,2000
125,125,123,2000
125,125,123,2000
115,119,113,2000
115,119,113,2000
111,105,98,2000
111,105,98,2000
105,121,113,2000
105,121,113,2000
104,104,102,2000
104,104,102,2000
104,111,112,2000
104,111,112,2000
104,104,110,2000
104,104,110,2000
89,79,76,2000
89,79,76,2000
74,78,75,2000
74,78,75,2000
76,81,80,2000
76,81,80,2000
75,78,75,2000
75,78,75,2000
74,81,75,2000
74,81,75,2000
86,116,114,2000
86,116,114,2000
108,127,143,2000
108,127,143,2000
134,134,120,2000
134,134,120,2000
110,117,111,2000
110,117,111,2000
106,122,134,2000
106,122,134,2000
140,155,164,2000
140,155,164,2000
133,137,124,2000
133,137,124,2000
120,120,116,2000
120,120,116,2000
114,110,93,2000
114,110,93,2000
86,90,91,2000
86,90,91,2000
88,92,98,2000
88,92,98,2000
132,152,145,2000
132,152,145,2000
141,158,164,2000
141,158,164,2000
136,125,132,2000
136,125,132,2000
157,167,143,2000
157,167,143,2000
134,149,181,2000
134,149,181,2000
110,101,93,2000
110,101,93,2000
89,84,85,2000
89,84,85,2000
82,83,80,2000
82,83,80,2000
77,82,81,2000
77,82,81,2000
81,84,81,2000
81,84,81,2000
79,83,82,2000
79,83,82,2000
81,87,84,2000
81,87,84,2000
82,86,84,2000
82,86,84,2000
82,92,94,2000
82,92,94,2000
89,93,91,2000
89,93,91,2000
86,92,91,2000
86,92,91,2000
90,95,93,2000
90,95,93,2000
91,96,93,2000
91,96,93,2000
92,97,93,2000
92,97,93,2000
91,95,93,2000
91,95,93,2000
91,95,93,2000
91,95,93,2000
90,96,93,2000
90,96,93,2000
90,96,93,2000
90,96,93,2000
90,94,90,2000
90,94,90,2000
86,93,88,2000
86,93,88,2000
122,175,201,2000
122,175,201,2000
149,145,125,2000
149,145,125,2000
107,114,111,2000
107,114,111,2000
117,161,185,2000
117,161,185,2000
120,135,131,2000
120,135,131,2000
131,136,137,2000
131,136,137,2000
136,144,138,2000
136,144,138,2000
132,141,135,2000
132,141,135,2000
132,139,133,2000
132,139,133,2000
133,143,137,2000
133,143,137,2000
122,131,126,2000
122,131,126,2000
128,137,126,2000
128,137,126,2000
119,125,121,2000
119,125,121,2000
122,136,133,2000
122,136,133,2000
132,136,128,2000
132,136,128,2000
121,135,132,2000
121,135,132,2000
118,125,121,2000
118,125,121,2000
117,132,144,2000
117,132,144,2000
124,131,129,2000
124,131,129,2000
120,128,128,2000
120,128,128,2000
117,134,136,2000
117,134,136,2000
121,138,134,2000
121,138,134,2000
120,131,129,2000
120,131,129,2000
121,134,131,2000
121,134,131,2000
125,137,131,2000
125,137,131,2000
120,129,126,2000
120,129,126,2000
128,126,116,2000
128,126,116,2000
125,141,131,2000
125,141,131,2000
114,133,136,2000
114,133,136,2000
128,142,140,2000
128,142,140,2000
117,127,124,2000
118,124,121,2000
118,124,121,2000
114,127,129,2000
114,127,129,2000
121,130,119,2000
121,130,119,2000
109,120,114,2000
109,120,114,2000
118,127,116,2000
118,127,116,2000
105,102,100,2000
117,127,124,2000
105,102,100,2000
104,119,115,2000
104,119,115,2000
109,108,98,2000
109,108,98,2000
87,91,80,2000
87,91,80,2000
81,106,115,2000
81,106,115,2000
108,118,93,2000
108,118,93,2000
78,98,108,2000
78,98,108,2000
108,79,82,2000
108,79,82,2000
101,65,74,2000
101,65,74,2000
90,103,103,2000
